Fwd Seg Size Min,URG Flag Cnt,Init Fwd Win Byts,Bwd Pkts/s,Fwd Act Data Pkts,Flow Pkts/s,Bwd Pkt Len Min,Fwd Pkt Len Min,Pkt Len Min,Protocol,label
-0.293109117,-0.367796454,-0.180607989,-0.472029561,-0.345951065,-0.484554926,-0.435095705,-0.437753228,-0.441752369,-0.475197156,0
1.508988142,-0.367796454,1.267838767,-0.284651952,-0.541602611,-0.303582904,-0.435095705,-0.437753228,-0.441752369,-0.475197156,1
1.508988142,-0.367796454,1.267838767,1.401769313,-0.541602611,1.325187299,-0.435095705,-0.437753228,-0.441752369,-0.475197156,1
-1.374367473,-0.367796454,-0.815519138,-0.471898894,-0.345951065,-0.484428726,1.743910057,1.627499334,1.655981106,1.981179119,0
0.788149239,2.718895161,-0.796765507,0.063339738,-0.541602611,0.032512535,-0.435095705,-0.437753228,-0.441752369,-0.475197156,2
0.788149239,-0.367796454,1.267838767,-0.471801301,2.588822134,-0.484334469,-0.435095705,-0.437753228,-0.441752369,-0.475197156,2
0.788149239,2.718895161,-0.796765507,0.063339738,-0.541602611,0.032512535,-0.435095705,-0.437753228,-0.441752369,-0.475197156,2
1.508988142,-0.367796454,1.267838767,3.275570718,-0.541602611,3.134931968,-0.435095705,-0.437753228,-0.441752369,-0.475197156,1
-1.374367473,-0.367796454,-0.815519138,-0.468053745,-0.541602611,-0.480715026,1.765272859,1.059554879,1.0791044,1.981179119,0
1.508988142,-0.367796454,1.267838767,-0.003581741,-0.541602611,-0.032121204,-0.435095705,-0.437753228,-0.441752369,-0.475197156,1
-0.293109117,-0.367796454,-0.180607989,-0.472012396,0.436655122,-0.484536989,-0.435095705,-0.437753228,-0.441752369,-0.475197156,0
-1.374367473,-0.367796454,-0.815519138,-0.468990207,-0.541602611,-0.481619474,2.299342899,1.214448821,1.236434411,1.981179119,0
-1.374367473,-0.367796454,-0.815519138,-0.468703848,-0.541602611,-0.481342905,0.910760795,1.369342763,1.393764422,1.981179119,0
-0.293109117,-0.367796454,-0.739497188,-0.472032092,-0.541602611,-0.484557371,-0.435095705,-0.437753228,-0.441752369,-0.475197156,0
1.508988142,-0.367796454,1.267838767,3.275570718,-0.541602611,3.134931968,-0.435095705,-0.437753228,-0.441752369,-0.475197156,1
-0.293109117,2.718895161,0.389130417,-0.131340928,-0.541602611,-0.155512886,-0.435095705,-0.437753228,-0.441752369,-0.475197156,0
